,Date,Source Gas/Oil Price Name,Argent Gas/Oil Category,Argent Gas/Oil Price Name,Price EUR/mt,Week of month,Month,Quarter,Price_7,Price_6,Price_5,Price_4,Price_3,Price_2,Price_1,Actual+7,Actual+15,Actual+30
840,31/01/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1356.78392,6,1,1,1317.111875,1307.414264,1262.452614,1315.348673,1355.020718,1355.020718,1355.020718,1352.46268,1457.04836,1678.94877
868,01/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1391.794047,1,2,1,1307.414264,1262.452614,1315.348673,1355.020718,1355.020718,1355.020718,1356.78392,1310.449629,1487.440779,1638.107076
896,02/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1404.308572,1,2,1,1262.452614,1315.348673,1355.020718,1355.020718,1355.020718,1356.78392,1391.794047,1342.629838,1484.759095,1643.434254
924,03/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1398.945204,1,2,1,1315.348673,1355.020718,1355.020718,1355.020718,1356.78392,1391.794047,1404.308572,1449.003307,1493.698042,1643.434254
952,04/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1390.006257,1,2,1,1355.020718,1355.020718,1355.020718,1356.78392,1391.794047,1404.308572,1398.945204,1406.990257,1493.698042,1643.434254
980,05/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1390.006257,1,2,1,1355.020718,1355.020718,1356.78392,1391.794047,1404.308572,1398.945204,1390.006257,1406.990257,1493.698042,1671.845867
1008,06/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1390.006257,1,2,1,1355.020718,1356.78392,1391.794047,1404.308572,1398.945204,1390.006257,1390.006257,1406.990257,1509.788147,1649.649294
1036,07/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1352.46268,2,2,1,1356.78392,1391.794047,1404.308572,1398.945204,1390.006257,1390.006257,1390.006257,1432.913203,1524.984357,1606.144011
1064,08/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1310.449629,2,2,1,1391.794047,1404.308572,1398.945204,1390.006257,1390.006257,1390.006257,1352.46268,1457.04836,1552.695093,1629.228447
1092,09/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1342.629838,2,2,1,1404.308572,1398.945204,1390.006257,1390.006257,1390.006257,1352.46268,1310.449629,1487.440779,1629.570037,1664.742964
1120,10/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1449.003307,2,2,1,1398.945204,1390.006257,1390.006257,1390.006257,1352.46268,1310.449629,1342.629838,1484.759095,1603.64709,1664.742964
1148,11/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1406.990257,2,2,1,1390.006257,1390.006257,1390.006257,1352.46268,1310.449629,1342.629838,1449.003307,1493.698042,1603.64709,1664.742964
1176,12/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1406.990257,2,2,1,1390.006257,1390.006257,1352.46268,1310.449629,1342.629838,1449.003307,1406.990257,1493.698042,1603.64709,1657.64006
1204,13/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1406.990257,2,2,1,1390.006257,1352.46268,1310.449629,1342.629838,1449.003307,1406.990257,1406.990257,1493.698042,1644.766247,1680.724496
1232,14/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1432.913203,3,2,1,1352.46268,1310.449629,1342.629838,1449.003307,1406.990257,1406.990257,1406.990257,1509.788147,1696.706029,1710.023972
1260,15/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1457.04836,3,2,1,1310.449629,1342.629838,1449.003307,1406.990257,1406.990257,1406.990257,1432.913203,1524.984357,1678.94877,1726.893368
1288,16/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1487.440779,3,2,1,1342.629838,1449.003307,1406.990257,1406.990257,1406.990257,1432.913203,1457.04836,1552.695093,1638.107076,1696.706029
1316,17/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1484.759095,3,2,1,1449.003307,1406.990257,1406.990257,1406.990257,1432.913203,1457.04836,1487.440779,1629.570037,1643.434254,1696.706029
1344,18/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1493.698042,3,2,1,1406.990257,1406.990257,1406.990257,1432.913203,1457.04836,1487.440779,1484.759095,1603.64709,1643.434254,1696.706029
1372,19/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1493.698042,3,2,1,1406.990257,1406.990257,1432.913203,1457.04836,1487.440779,1484.759095,1493.698042,1603.64709,1643.434254,1712.687561
1400,20/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1493.698042,3,2,1,1406.990257,1432.913203,1457.04836,1487.440779,1484.759095,1493.698042,1493.698042,1603.64709,1671.845867,1748.202078
1428,21/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1509.788147,4,2,1,1432.913203,1457.04836,1487.440779,1484.759095,1493.698042,1493.698042,1493.698042,1644.766247,1649.649294,1754.417118
1456,22/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1524.984357,4,2,1,1457.04836,1487.440779,1484.759095,1493.698042,1493.698042,1493.698042,1509.788147,1696.706029,1606.144011,1705.584658
1484,23/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1552.695093,4,2,1,1487.440779,1484.759095,1493.698042,1493.698042,1493.698042,1509.788147,1524.984357,1678.94877,1629.228447,1683.388085
1512,24/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1629.570037,4,2,1,1484.759095,1493.698042,1493.698042,1493.698042,1509.788147,1524.984357,1552.695093,1638.107076,1664.742964,1683.388085
1540,25/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1603.64709,4,2,1,1493.698042,1493.698042,1493.698042,1509.788147,1524.984357,1552.695093,1629.570037,1643.434254,1664.742964,1683.388085
1569,26/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1603.64709,4,2,1,1493.698042,1493.698042,1509.788147,1524.984357,1552.695093,1629.570037,1603.64709,1643.434254,1664.742964,1665.630827
1598,27/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1603.64709,4,2,1,1493.698042,1509.788147,1524.984357,1552.695093,1629.570037,1603.64709,1603.64709,1643.434254,1657.64006,1633.667762
1627,28/02/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1644.766247,5,2,1,1509.788147,1524.984357,1552.695093,1629.570037,1603.64709,1603.64709,1603.64709,1671.845867,1680.724496,1675.397319
1656,01/03/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1696.706029,1,3,1,1524.984357,1552.695093,1629.570037,1603.64709,1603.64709,1603.64709,1644.766247,1649.649294,1710.023972,1663.855101
1685,02/03/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1678.94877,1,3,1,1552.695093,1629.570037,1603.64709,1603.64709,1603.64709,1644.766247,1696.706029,1606.144011,1726.893368,1726.495726
1714,03/03/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1638.107076,1,3,1,1629.570037,1603.64709,1603.64709,1603.64709,1644.766247,1696.706029,1678.94877,1629.228447,1696.706029,1726.495726
1743,04/03/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1643.434254,1,3,1,1603.64709,1603.64709,1603.64709,1644.766247,1696.706029,1678.94877,1638.107076,1664.742964,1696.706029,1726.495726
1772,05/03/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1643.434254,1,3,1,1603.64709,1603.64709,1644.766247,1696.706029,1678.94877,1638.107076,1643.434254,1664.742964,1696.706029,1778.677463
1801,06/03/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1643.434254,1,3,1,1603.64709,1644.766247,1696.706029,1678.94877,1638.107076,1643.434254,1643.434254,1664.742964,1712.687561,1748.088169
1830,07/03/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1671.845867,2,3,1,1644.766247,1696.706029,1678.94877,1638.107076,1643.434254,1643.434254,1643.434254,1657.64006,1748.202078,1722.896986
1859,08/03/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1649.649294,2,3,1,1696.706029,1678.94877,1638.107076,1643.434254,1643.434254,1643.434254,1671.845867,1680.724496,1754.417118,1695.006748
1888,09/03/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1606.144011,2,3,1,1678.94877,1638.107076,1643.434254,1643.434254,1643.434254,1671.845867,1649.649294,1710.023972,1705.584658,1728.295097
