Date,Source Gas/Oil Price Name,Argent Gas/Oil Category,Argent Gas/Oil Price Name,Price EUR/mt
01/01/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1349.731112
01/01/2022,Biodiesel Palm OME RED ARA range barge fob_midpoint,Biodiesel,PME fob ARA,1213.082959
01/01/2022,Biodiesel Rapeseed OME RED ARA range barge fob_midpoint,Biodiesel,RME fob ARA,1862.822886
01/01/2022,Biodiesel SME Argentina waterborne fob upriver_midpoint,Biodiesel,SME fob Argentina,1158.458961
01/01/2022,Biodiesel tallow OME RED ARA range barge fob_midpoint,Biodiesel,TME fob ARA,1651.291545
01/01/2022,Biodiesel UCOME (used cooking oil) RED ARA range barge fob_midpoint,Biodiesel,UCOME fob ARA,1682.14758
01/01/2022,Biodiesel UCOME (used cooking oil) RED bulk China fob_midpoint,Biodiesel,UCOME bulk fob China,1397.337565
01/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_diff high,Feedstock Diff,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo prompt diff high,68.02433219
01/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_diff low,Feedstock Diff,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo prompt diff low,66.08481001
01/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_high low avg,,,76.06
01/01/2022,D-AAWGJ00,Biodiesel,SME fob ARA,1522.745305
01/01/2022,D-AAYWT00,MGO,MGO 0.1%,576.5670458
01/01/2022,Freight PME Malaysia - ARA 3-5kt_midpoint,Biodiesel,PME fob MY,114.6081284
01/01/2022,Gasoil NWE 7-28 day swaps_settlement,Biodiesel,Gasoil,587.490082
01/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class I) USD/t_midpoint,HVO & SAF,HVO (class I) fob ARA,1992.75324
01/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class II) USD/t_midpoint,HVO & SAF,HVO (class II) fob ARA,2501.366482
01/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class III) USD/t_midpoint,HVO & SAF,HVO (class III) fob ARA,2156.642863
01/01/2022,Palm oil futures Bursa Malaysia month_settlement,Feedstocks,Palm Oil futures,1000.017632
01/01/2022,Palm oil mill effluent (POME) oil RED ARA cif_midpoint,Feedstocks,POME cif ARA,1128.449264
01/01/2022,Palm oil mill effluent (POME) oil RED Malaysia/Indonesia fob_midpoint,,,1120
