Intra Category,InterCategory
Biodiesel,FAME 0 fob ARA
Biodiesel,PME fob ARA
Biodiesel,RME fob ARA
Biodiesel,SME fob Argentina
Biodiesel,TME fob ARA
Biodiesel,UCOME fob ARA
Biodiesel,UCOME bulk fob China
Biodiesel,SME fob ARA
Biodiesel,PME fob MY
Biodiesel,Gasoil
Biodiesel,POMEME fob ARA
Feedstock Diff,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo prompt diff high
Feedstock Diff,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo prompt diff low
Feedstocks,Palm Oil futures
Feedstocks,POME cif ARA
Feedstocks,RSO fob Dutch Mill
Feedstocks,SBO fob Argentina
Feedstocks,Tallow Cat 1&2
Feedstocks,UCO cif ARA
Feedstocks,UCO fob China
Feedstocks,UCO bulk fob China
Feedstocks,UCO fob ARA
HVO & SAF,HVO (class I) fob ARA
HVO & SAF,HVO (class II) fob ARA
HVO & SAF,HVO (class III) fob ARA
MGO,MGO 0.1%
